collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Davros, Dalek Creator","","1","59c5bd2b-cf68-4e5e-819d-53917a6c5275","who","Doctor Who"
"198","","en","Island","","2","ca98e0fb-5f07-40c8-9958-84379bcdc35c","who","Doctor Who"
"202","","en","Mountain","","2","58c34fe0-77ec-4ba3-a214-00d0eb42ebae","who","Doctor Who"
"200","","en","Swamp","","2","5788684f-1339-4cb4-863a-a9883ccab79b","who","Doctor Who"
"314","","en","Temple of Deceit","","1","cbbfbb9b-f2b8-42ed-89ba-c0d894e1e8d4","who","Doctor Who"
"317","","en","Temple of Malice","","1","ee9fabb0-9f83-49a3-9da3-d2b1d89fdb61","who","Doctor Who"
"239","","en","Arcane Signet","","1","d87d58eb-b95a-48d9-a174-e2d72a29c167","who","Doctor Who"
"266","","en","Command Tower","","1","98e819e5-573c-49d3-87d7-9abd60532e71","who","Doctor Who"
"268","","en","Crumbling Necropolis","","1","eeb7fadc-dcd8-473a-9b12-d9c8f0a19f79","who","Doctor Who"
"243","","en","Lightning Greaves","","1","59cb10b3-6856-4355-94a7-a14c516887d5","who","Doctor Who"
"244","","en","Mind Stone","","1","6ac8db7a-009a-4141-bba7-b5fdfaf8d245","who","Doctor Who"
"219","","en","Propaganda","","1","16023fe1-f5e7-4ec0-aef2-c34c131b8ff3","who","Doctor Who"
"296","","en","Reliquary Tower","","1","3afb2f16-4364-439e-a5ce-6598b351cb4c","who","Doctor Who"
"245","","en","Sol Ring","","1","0f44a54b-512e-45ef-80ee-7982d2eaf762","who","Doctor Who"
"246","","en","Solemn Simulacrum","","1","0bd72802-8eab-4700-9bd2-d3997c17438f","who","Doctor Who"
"320","","en","Temple of the False God","","1","3ca70d08-1468-407d-80e6-a58c6655b4f0","who","Doctor Who"
"255","","en","Thought Vessel","","1","84506a3f-46ee-4482-9f7d-0409c2699ae4","who","Doctor Who"
"316","","en","Temple of Epiphany","","1","a7df0f35-81a1-439f-a9b0-0c3afd4bce68","who","Doctor Who"
"224","","en","Blasphemous Act","","1","34e5d93b-2f1f-43ed-b8ff-ee00d98eb46c","who","Doctor Who"
"240","","en","Commander's Sphere","","1","331338ed-5b1e-4cc0-8a3f-ea43539b9346","who","Doctor Who"
"269","","en","Darkwater Catacombs","","1","f8036733-de99-4f33-a7a2-b1dde43606f1","who","Doctor Who"
"276","","en","Exotic Orchard","","1","c2bc648d-def5-4442-9cfe-0f93fee631f4","who","Doctor Who"
"322","","en","Terramorphic Expanse","","1","fa85babf-6764-4cf7-9108-ec15cda6ada5","who","Doctor Who"
"256","","en","Wayfarer's Bauble","","1","4fa3660a-4141-46fe-b34b-3aeb45589cac","who","Doctor Who"
"293","","en","Path of Ancestry","","1","30c6f93e-e03f-4749-8b30-9375c79f10f4","who","Doctor Who"
"312","","en","Sunken Hollow","","1","4247c058-7f27-4195-b847-db883a430e6a","who","Doctor Who"
"303","","en","Shadowblood Ridge","","1","be9e7104-debd-474c-a602-3226dae5a553","who","Doctor Who"
"297","","en","River of Tears","","1","f1ebb072-492c-4ec0-8b1d-f8ea48221647","who","Doctor Who"
"307","","en","Smoldering Marsh","","1","d1b65ecb-ace2-4247-a654-1e704d24319a","who","Doctor Who"
"261","","en","Choked Estuary","","1","0f33320e-8dcb-40e2-a356-038f2eea77d7","who","Doctor Who"
"279","","en","Foreboding Ruins","","1","f1724c72-8e0e-4380-82ba-1f9ec8e45f01","who","Doctor Who"
"267","","en","Creeping Tar Pit","","1","254a6531-7cf7-4c74-9050-65fe4b273744","who","Doctor Who"
"289","","en","Lavaclaw Reaches","","1","59735c0d-5793-478a-b40c-f8d13413f67b","who","Doctor Who"
"274","","en","Drowned Catacomb","","1","41f3d434-bab7-48c2-961d-347735d61d38","who","Doctor Who"
"272","","en","Dragonskull Summit","","1","787c5c8e-7274-4d74-8a8d-728b28ec0b71","who","Doctor Who"
"222","","en","Snuff Out","","1","760660d0-06f2-49ea-afbf-647d7f1ea151","who","Doctor Who"
"250","","en","Talisman of Dominance","","1","827edf4f-2442-4c9d-8aac-3dead3af3146","who","Doctor Who"
"278","","en","Fiery Islet","","1","daf68138-63c1-4201-998c-eb412463f664","who","Doctor Who"
"252","","en","Talisman of Indulgence","","1","3f1e2fad-0aab-4ead-9b25-509c83ad4a93","who","Doctor Who"
"259","","en","Canyon Slough","","1","221cd894-19e2-433b-a624-f6838fadd6fd","who","Doctor Who"
"277","","en","Fetid Pools","","1","4830469e-2323-4e00-9c97-8fa8a5a03580","who","Doctor Who"
"223","","en","Wound Reflection","","1","32d7dcdd-bec4-4795-b04f-63430228e48c","who","Doctor Who"
"328","","en","Thriving Moor","","1","50ae3a27-cd9a-4344-8879-1ed81932aaec","who","Doctor Who"
"221","","en","Feed the Swarm","","1","c5ca70f4-2fb2-4e0b-b1d6-c9220766807f","who","Doctor Who"
"282","","en","Frostboil Snarl","","1","6e1d2c3d-e6ec-4130-8765-346adbb79d31","who","Doctor Who"
"286","","en","Haunted Ridge","","1","01b62353-e170-4c29-bda1-7cd8441c01c2","who","Doctor Who"
"305","","en","Shipwreck Marsh","","1","9d0dfc2d-5d13-4051-b24c-108b566b5e23","who","Doctor Who"
"308","","en","Stormcarved Coast","","1","54fe029f-e173-4a16-bdb4-394847b4e50b","who","Doctor Who"
"79","","en","Day of the Moon","","1","adc53534-f362-4871-a594-9855a4923cd0","who","Doctor Who"
"40","","en","Don't Blink","","1","ef31cf95-6e1d-4786-ae92-e1eebdb1da13","who","Doctor Who"
"120","","en","The Dalek Emperor","","1","e96e1793-cf1c-452d-9443-b0aad4475d50","who","Doctor Who"
"188","","en","Gallifrey Council Chamber","","1","83d990f5-a7b7-4482-95e6-b03a397192e2","who","Doctor Who"
"189","","en","Ominous Cemetery","","1","2e843c57-fae3-4127-94e7-cad8c8bb9486","who","Doctor Who"
"178","","en","Laser Screwdriver","","1","9e646af0-1a7a-4e2c-83ba-78e748737846","who","Doctor Who"
"143","","en","The Master, Formed Anew","","1","a85edffb-37ce-45ca-b8d2-ddbbbee3b571","who","Doctor Who"
"36","","en","Auton Soldier","","1","4cc35b82-a233-4460-968e-d90980fb2074","who","Doctor Who"
"96","","en","Sontaran General","","1","cb70fa62-fea1-4e91-a8a1-64b43b777091","who","Doctor Who"
"81","","en","Delete","","1","875c7337-78af-4e13-89e5-3255ba2d4053","who","Doctor Who"
